詩歌ID,作者,標題,人物,提及次數
李世民_71. 餞中書侍郎來濟,李世民,71. 餞中書侍郎來濟,來濟,3
李治_5. 謁慈恩寺題奘法師房,李治,5. 謁慈恩寺題奘法師房,法輪,3
李治_6. 謁大慈恩寺,李治,6. 謁大慈恩寺,雲表,13
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,鄭愔,2
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,崔湜,3
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,宗楚客,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,李適,4
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,宋之問,6
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,馬懷素,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,2
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,盧藏用,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,李嶠,4
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,懷素,18
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,劉憲,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,蘇頲,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,趙彥昭,1
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,李乂,2
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,薛稷,5
李顯_13. 十月誕辰內殿宴群臣效柏梁體聯句,李顯,13. 十月誕辰內殿宴群臣效柏梁體聯句,陸景初,1
